Index,Real,ARIMA,GRU,GWO-LSTM,LSTM,SAES
105.0,701.63489,841.4369623102891,639.9620115357882,714.1079614163974,841.1013760578187,587.3037346379672
106.0,736.3960500000001,845.6692393028685,588.9026221508332,772.4431837339063,853.9291400886061,640.2346702041139
107.0,723.84997,832.8953895438926,657.6744002963013,718.771629884241,807.7480422093058,568.397997908588
108.0,705.28895,551.6853679423327,558.1899491043418,728.6862877115478,808.9338469070934,586.7917189995815
109.0,689.71437,586.4732689745603,556.9895606168328,703.8192917547549,632.709995795243,546.3496817160093
110.0,662.17753,570.9697751089423,590.5243238885299,613.2160392946414,605.7287465892953,802.7173673310886
111.0,648.4383,752.4983440844528,509.8430845308663,629.3185166912197,576.3932376758094,513.6453163223135
112.0,657.1288199999998,547.8473962095525,559.6013485028249,695.4850193143698,593.9286569601117,756.9113392409189
113.0,634.83829,693.6871732877795,706.1593323862467,610.2963541262789,738.3952496432903,707.9587866202634
114.0,613.8894,677.2647619941591,679.3420303041817,655.1586258206687,686.3555516456989,750.6442077156788
115.0,634.7838899999999,722.4650395487168,562.861352255655,618.2536969418388,692.8835800495837,716.6043630257992
116.0,677.25717,809.433434733129,767.0878953200664,638.2061668463983,810.7282509393419,623.6230457221892
117.0,711.2329,606.1729415812928,612.8101421619019,673.1326959068867,865.6461897773024,788.7232378516486
118.0,715.12942,629.2596940590051,787.9417941819836,718.2798163437186,876.8326928432951,828.8444363492773
119.0,692.5905300000001,600.4990865970418,759.9133658519892,720.1359357177929,554.201025174209,817.1476981486317
120.0,695.68006,796.4126118720269,597.4938061952676,748.493586099432,761.8374743941858,613.7709845306324
121.0,757.2461000000001,566.0573254961099,642.2819079739271,803.6633898068966,675.1213469595006,825.4021091798202
122.0,804.30333,639.5799044203724,922.5460646653604,764.2112067293294,680.7388571562411,618.910022377275
123.0,801.48284,659.0382598827946,922.1867345298896,813.1984081019931,701.5057328748809,894.5773108569106
124.0,785.77764,647.7827150994617,970.4035805005088,788.9686457637719,917.180531714639,716.9689045762527
125.0,795.52175,682.1740798435385,875.0694561003278,738.7686455235773,882.2473506711714,636.7133292732312
126.0,815.6060699999999,598.0431992766689,901.1818425202712,868.3844383399693,620.8918322410964,884.4981291937206
127.0,831.13222,961.3481703415008,685.7854623363056,786.3229085866009,1035.5929496100937,703.0322231262817
128.0,800.67091,676.271789036183,735.4864271994751,756.9537638940202,609.1023922053273,652.5178437104948
129.0,785.64426,627.4917262427803,719.2156448874669,824.3093403728672,713.7988211443599,956.6768943111804
130.0,771.66802,933.5765885717316,688.2406158324561,803.2159471709463,633.0776188479748,690.1105723873818
131.0,750.0887899999999,640.7582163817796,868.8769962783266,803.3593690451448,659.2653520276324,889.1734915774632
132.0,764.72122,628.0559046713113,868.0077081462437,767.6288583838865,918.3485480080154,699.9005707314229
133.0,740.16178,888.9594497168192,594.6272043661793,792.568956908625,570.5521645600979,660.0192363841929
