Time,Value
1647,430.076
1648,439.281
1649,448.006
1650,452.8
1651,455.369
1652,456.327
1653,453.716
1654,445.023
1655,436.296
1656,435.529
1657,438.771
1658,443.707
1659,450.067
1660,455.157
1661,462.979
1662,471.233
1663,472.656
1664,471.723
1665,472.499
1666,477.321
1667,480.353
1668,482.854
1669,481.883
1670,486.573
1671,492.167
1672,499.111
1673,497.004
1674,497.026
1675,491.309
1676,490.083
1677,485.734
1678,484.856
1679,484.123
1680,492.519
1681,501.467
1682,511.08
1683,517.794
1684,515.144
1685,507.401
1686,495.193
1687,480.227
1688,463.794
1689,451.369
1690,444.96
1691,449.517
1692,454.293
1693,462.189
1694,467.807
1695,462.984
1696,460.541
1697,456.169
1698,448.974
1699,437.43
1700,423.587
1701,406.71
1702,403.039
1703,401.571
1704,396.523
1705,384.767
1706,377.944
1707,368.349
1708,374.693
1709,380.017
1710,382.574
1711,381.149
1712,380.669
1713,378.684
1714,381.177
1715,372.379
1716,363.481
1717,357.95
1718,356.186
1719,357.511
1720,360.27
1721,361.713
1722,363.269
1723,364.81
1724,364.316
1725,367.374
1726,369.099
1727,370.24
1728,372.307
1729,374.689
1730,374.261
1731,387.333
1732,401.233
1733,412.823
1734,425.293
1735,436.576
1736,447.706
1737,465.989
1738,463.866
1739,459.759
1740,458.387
1741,455.603
1742,458.737
1743,463.026
1744,458.466
1745,458.661
1746,461.744
1747,458.787
1748,460.911
1749,460.739
1750,460.614
1751,468.576
1752,473.63
1753,476.25
1754,484.644
1755,488.187
1756,492.217
1757,493.046
1758,495.229
1759,501.007
1760,506.093
1761,514.247
1762,527.447
1763,532.894
1764,540.177
1765,544.751
1766,546.017
1767,544.387
1768,542.396
1769,536.251
1770,534.257
1771,537.647
1772,534.67
1773,534.029
1774,540.444
1775,537.591
1776,538.629
1777,551.114
1778,560.543
1779,560.554
1780,561.743
1781,557.656
1782,557.84
1783,558.324
1784,543.023
1785,541.389
1786,543.581
1787,535.64
1788,528.563
1789,528.06
1790,521.607
1791,522
1792,501.827
1793,499.026
1794,503.883
1795,508.753
1796,513.713
1797,513.854
1798,519.233
1799,533.974
1800,545.526
1801,557.263
1802,562.061
1803,567.953
1804,572.031
1805,573.253
1806,569.541
1807,571.076
1808,573.457
1809,591.587
1810,604.744
1811,614.559
1812,616.089
1813,615.643
1814,607.276
1815,591.793
1816,564.751
1817,546.111
1818,540.464
1819,536.721
1820,531.939
1821,533.907
1822,539.331
1823,552.713
1824,560.27
1825,572.163
1826,582.409
1827,594.464
1828,595.917
1829,600.174
1830,601.77
1831,601.33
1832,591.533
1833,589.547
1834,587.393
1835,587.357
1836,587.591
1837,584.297
1838,579.987
1839,577.24
1840,570.171
1841,569.02
1842,569.421
1843,575.076
1844,580.017
1845,582.031
1846,587.943
1847,591.914
1848,595.261
1849,599.676
1850,601.247
1851,607.561
1852,619.096
1853,628.724
1854,642.481
1855,648.17
1856,652.71
1857,657.02
1858,656.079
1859,651.136
1860,651.33
1861,646.619
1862,650.5
1863,652.673
1864,650.661
1865,653.974
1866,653.524
1867,644.119
1868,632.907
1869,613.21
1870,595.679
1871,589.343
1872,583.687
1873,584.709
1874,588.454
1875,597.239
1876,606.189
1877,612.793
1878,610.547
1879,608.766
1880,609.246
1881,608.996
1882,608.361
1883,619.267
1884,627.994
1885,636.554
1886,639.629
1887,639.599
1888,640.871
1889,645.31
1890,637.001
1891,630.126
1892,619.173
1893,603.731
1894,590.23
1895,579.896
1896,575.701
1897,580.4
1898,582.757
1899,589.064
1900,597.84
1901,604.374
1902,603.946
1903,595.553
1904,587.954
1905,589.534
1906,583.499
1907,580.51
1908,575.199
1909,578.28
1910,575.593
1911,568.467
1912,560.879
1913,560.996
1914,564.727
1915,567.273
1916,561.01
1917,559.48
1918,557.567
1919,552.756
1920,547.834
1921,539.41
1922,533.406
1923,534.987
1924,539.273
1925,541.326
1926,544.95
1927,556.9
1928,568.584
1929,573.893
1930,573.816
1931,565.453
1932,563.847
1933,563.023
1934,554.166
1935,539.381
1936,532.304
1937,535.136
1938,536.579
1939,537.909
1940,541.231
1941,553.039
1942,556.834
1943,548.656
1944,534.071
1945,530.709
1946,527.47
1947,518.82
1948,493.636
1949,486.571
1950,494.423
1951,496.146
1952,498.481
1953,491.59
1954,487.163
1955,493.421
1956,496.263
1957,497.917
1958,500.99
1959,500.916
1960,506.187
1961,512.551
1962,516.007
1963,519.007
1964,525.421
1965,538.609
1966,539.056
1967,535.556
1968,541.889
1969,548.811
1970,545.133
1971,538.427
1972,527.154
1973,520.159
1974,509.22
1975,487.181
1976,467.86
1977,462.214
1978,461.544
1979,466.983
1980,480.604
1981,503.789
1982,521.419
1983,529.266
1984,531.643
1985,529.257
1986,521.204
1987,509.743
1988,495.963
1989,482.526
1990,474.841
1991,473.036
1992,474.75
1993,478.789
1994,488.424
